i,size,capacity
837000,837001,1048576
838000,838001,1048576
839000,839001,1048576
840000,840001,1048576
841000,841001,1048576
842000,842001,1048576
843000,843001,1048576
844000,844001,1048576
845000,845001,1048576
846000,846001,1048576
847000,847001,1048576
848000,848001,1048576
849000,849001,1048576
850000,850001,1048576
851000,851001,1048576
852000,852001,1048576
853000,853001,1048576
854000,854001,1048576
855000,855001,1048576
856000,856001,1048576
857000,857001,1048576
858000,858001,1048576
859000,859001,1048576
860000,860001,1048576
861000,861001,1048576
862000,862001,1048576
863000,863001,1048576
864000,864001,1048576
865000,865001,1048576
866000,866001,1048576
867000,867001,1048576
868000,868001,1048576
869000,869001,1048576
870000,870001,1048576
871000,871001,1048576
872000,872001,1048576
873000,873001,1048576
874000,874001,1048576
875000,875001,1048576
876000,876001,1048576
877000,877001,1048576
878000,878001,1048576
879000,879001,1048576
880000,880001,1048576
881000,881001,1048576
882000,882001,1048576
883000,883001,1048576
884000,884001,1048576
885000,885001,1048576
886000,886001,1048576
887000,887001,1048576
888000,888001,1048576
889000,889001,1048576
890000,890001,1048576
891000,891001,1048576
892000,892001,1048576
893000,893001,1048576
894000,894001,1048576
895000,895001,1048576
896000,896001,1048576
897000,897001,1048576
898000,898001,1048576
899000,899001,1048576
900000,900001,1048576
901000,901001,1048576
902000,902001,1048576
903000,903001,1048576
904000,904001,1048576
905000,905001,1048576
906000,906001,1048576
907000,907001,1048576
908000,908001,1048576
909000,909001,1048576
910000,910001,1048576
911000,911001,1048576
912000,912001,1048576
913000,913001,1048576
914000,914001,1048576
915000,915001,1048576
916000,916001,1048576
917000,917001,1048576
918000,918001,1048576
919000,919001,1048576
920000,920001,1048576
921000,921001,1048576
922000,922001,1048576
923000,923001,1048576
924000,924001,1048576
925000,925001,1048576
926000,926001,1048576
927000,927001,1048576
928000,928001,1048576
929000,929001,1048576
930000,930001,1048576
931000,931001,1048576
932000,932001,1048576
933000,933001,1048576
934000,934001,1048576
935000,935001,1048576
936000,936001,1048576
937000,937001,1048576
938000,938001,1048576
939000,939001,1048576
940000,940001,1048576
941000,941001,1048576
942000,942001,1048576
943000,943001,1048576
944000,944001,1048576
945000,945001,1048576
946000,946001,1048576
947000,947001,1048576
948000,948001,1048576
949000,949001,1048576
950000,950001,1048576
951000,951001,1048576
952000,952001,1048576
953000,953001,1048576
954000,954001,1048576
955000,955001,1048576
956000,956001,1048576
957000,957001,1048576
958000,958001,1048576
959000,959001,1048576
960000,960001,1048576
961000,961001,1048576
962000,962001,1048576
963000,963001,1048576
964000,964001,1048576
965000,965001,1048576
966000,966001,1048576
967000,967001,1048576
968000,968001,1048576
969000,969001,1048576
970000,970001,1048576
971000,971001,1048576
972000,972001,1048576
973000,973001,1048576
974000,974001,1048576
975000,975001,1048576
976000,976001,1048576
977000,977001,1048576
978000,978001,1048576
979000,979001,1048576
980000,980001,1048576
981000,981001,1048576
982000,982001,1048576
983000,983001,1048576
984000,984001,1048576
985000,985001,1048576
986000,986001,1048576
987000,987001,1048576
988000,988001,1048576
989000,989001,1048576
990000,990001,1048576
991000,991001,1048576
992000,992001,1048576
993000,993001,1048576
994000,994001,1048576
995000,995001,1048576
996000,996001,1048576
997000,997001,1048576
998000,998001,1048576
999000,999001,1048576
1000000,1000001,1048576
1001000,1001001,1048576
1002000,1002001,1048576
1003000,1003001,1048576
1004000,1004001,1048576
1005000,1005001,1048576
1006000,1006001,1048576
1007000,1007001,1048576
1008000,1008001,1048576
1009000,1009001,1048576
1010000,1010001,1048576
1011000,1011001,1048576
1012000,1012001,1048576
1013000,1013001,1048576
1014000,1014001,1048576
1015000,1015001,1048576
1016000,1016001,1048576
1017000,1017001,1048576
1018000,1018001,1048576
1019000,1019001,1048576
1020000,1020001,1048576
1021000,1021001,1048576
1022000,1022001,1048576
1023000,1023001,1048576
1024000,1024001,1048576
1025000,1025001,1048576
1026000,1026001,1048576
1027000,1027001,1048576
1028000,1028001,1048576
1029000,1029001,1048576
1030000,1030001,1048576
1031000,1031001,1048576
1032000,1032001,1048576
1033000,1033001,1048576
1034000,1034001,1048576
1035000,1035001,1048576
1036000,1036001,1048576
1037000,1037001,1048576
1038000,1038001,1048576
1039000,1039001,1048576
1040000,1040001,1048576
1041000,1041001,1048576
1042000,1042001,1048576
1043000,1043001,1048576
1044000,1044001,1048576
1045000,1045001,1048576
1046000,1046001,1048576
1047000,1047001,1048576
1048000,1048001,1048576
1048576,1048577,2097152
1049000,1049001,2097152
1050000,1050001,2097152
1051000,1051001,2097152
1052000,1052001,2097152
1053000,1053001,2097152
1054000,1054001,2097152
1055000,1055001,2097152
1056000,1056001,2097152
1057000,1057001,2097152
1058000,1058001,2097152
1059000,1059001,2097152
1060000,1060001,2097152
1061000,1061001,2097152
1062000,1062001,2097152
1063000,1063001,2097152
1064000,1064001,2097152
1065000,1065001,2097152
1066000,1066001,2097152
1067000,1067001,2097152
1068000,1068001,2097152
1069000,1069001,2097152
1070000,1070001,2097152
1071000,1071001,2097152
1072000,1072001,2097152
1073000,1073001,2097152
1074000,1074001,2097152
1075000,1075001,2097152
1076000,1076001,2097152
1077000,1077001,2097152
1078000,1078001,2097152
1079000,1079001,2097152
1080000,1080001,2097152
1081000,1081001,2097152
1082000,1082001,2097152
1083000,1083001,2097152
1084000,1084001,2097152
1085000,1085001,2097152
1086000,1086001,2097152
1087000,1087001,2097152
1088000,1088001,2097152
1089000,1089001,2097152
1090000,1090001,2097152
1091000,1091001,2097152
1092000,1092001,2097152
1093000,1093001,2097152
1094000,1094001,2097152
1095000,1095001,2097152
1096000,1096001,2097152
1097000,1097001,2097152
1098000,1098001,2097152
1099000,1099001,2097152
1100000,1100001,2097152
1101000,1101001,2097152
1102000,1102001,2097152
1103000,1103001,2097152
1104000,1104001,2097152
1105000,1105001,2097152
1106000,1106001,2097152
1107000,1107001,2097152
1108000,1108001,2097152
1109000,1109001,2097152
1110000,1110001,2097152
1111000,1111001,2097152
1112000,1112001,2097152
1113000,1113001,2097152
1114000,1114001,2097152
1115000,1115001,2097152
1116000,1116001,2097152
1117000,1117001,2097152
1118000,1118001,2097152
1119000,1119001,2097152
1120000,1120001,2097152
1121000,1121001,2097152
1122000,1122001,2097152
1123000,1123001,2097152
1124000,1124001,2097152
1125000,1125001,2097152
1126000,1126001,2097152
1127000,1127001,2097152
1128000,1128001,2097152
1129000,1129001,2097152
1130000,1130001,2097152
1131000,1131001,2097152
1132000,1132001,2097152
1133000,1133001,2097152
1134000,1134001,2097152
1135000,1135001,2097152
1136000,1136001,2097152
1137000,1137001,2097152
1138000,1138001,2097152
1139000,1139001,2097152
1140000,1140001,2097152
1141000,1141001,2097152
1142000,1142001,2097152
1143000,1143001,2097152
1144000,1144001,2097152
1145000,1145001,2097152
1146000,1146001,2097152
1147000,1147001,2097152
1148000,1148001,2097152
1149000,1149001,2097152
1150000,1150001,2097152
1151000,1151001,2097152
1152000,1152001,2097152
1153000,1153001,2097152
1154000,1154001,2097152
1155000,1155001,2097152
1156000,1156001,2097152
1157000,1157001,2097152
