algorithm,initial_data,array_size,time_ns
quick_sort,worst,14000,33444100
heap_sort,best,14000,1090900
heap_sort,average,14000,807400
heap_sort,worst,14000,647300
bubble_sort,best,15000,41528600
bubble_sort,average,15000,84877700
bubble_sort,worst,15000,68423300
insertion_sort,best,15000,24800
insertion_sort,average,15000,19535100
insertion_sort,worst,15000,35111300
selection_sort,best,15000,260220600
selection_sort,average,15000,264655100
selection_sort,worst,15000,263273000
merge_sort,best,15000,433700
merge_sort,average,15000,1212500
merge_sort,worst,15000,386600
quick_sort,best,15000,85136700
quick_sort,average,15000,833500
quick_sort,worst,15000,37329000
heap_sort,best,15000,743100
heap_sort,average,15000,1154500
heap_sort,worst,15000,1059700
