data_type,n,Left,Right,Mid
float,20432,-2.43386e-05,2.45968e-05,-7.94729e-08
double,22475,-2.22466e-05,2.22473e-05,-1.64975e-10
float,22475,-2.19544e-05,2.25405e-05,6.95387e-08
double,24722,-2.02246e-05,2.02252e-05,-1.36348e-10
float,24722,-2.02258e-05,2.02159e-05,2.1855e-07
double,27194,-1.83862e-05,1.83866e-05,-1.12687e-10
float,27194,-1.82887e-05,1.84874e-05,9.93411e-09
double,29913,-1.6715e-05,1.67153e-05,-9.31324e-11
float,29913,-1.6888e-05,1.65502e-05,1.58946e-07
double,32904,-1.51956e-05,1.51959e-05,-7.69715e-11
float,32904,-1.52191e-05,1.51793e-05,6.95387e-08
double,36194,-1.38143e-05,1.38146e-05,-6.36113e-11
float,36194,-1.41164e-05,1.35104e-05,-4.96705e-08
double,39813,-1.25586e-05,1.25588e-05,-5.25751e-11
float,39813,-1.26263e-05,1.24971e-05,-7.94729e-08
double,43794,-1.1417e-05,1.14172e-05,-4.34492e-11
float,43794,-1.15534e-05,1.12752e-05,6.95387e-08
double,48173,-1.03792e-05,1.03793e-05,-3.59078e-11
float,48173,-1.04209e-05,1.03513e-05,-7.94729e-08
double,52990,-9.43568e-06,9.4358e-06,-2.96765e-11
float,52990,-9.34799e-06,9.51688e-06,-7.94729e-08
double,58289,-8.5779e-06,8.578e-06,-2.45261e-11
float,58289,-8.72215e-06,8.44399e-06,-4.96705e-08
double,64117,-7.7982e-06,7.79828e-06,-2.02715e-11
float,64117,-7.88768e-06,7.69893e-06,-1.98682e-08
double,70528,-7.08935e-06,7.08942e-06,-1.67533e-11
float,70528,-7.11282e-06,7.07308e-06,3.97364e-08
double,77580,-6.44493e-06,6.44499e-06,-1.38482e-11
float,77580,-6.785e-06,6.11941e-06,-3.47694e-07
double,85338,-5.85903e-06,5.85908e-06,-1.14415e-11
float,85338,-5.6227e-06,6.08961e-06,2.1855e-07
double,93871,-5.32644e-06,5.32648e-06,-9.45649e-12
float,93871,-5.77172e-06,4.86771e-06,-6.45717e-07
double,103258,-4.84222e-06,4.84226e-06,-7.81686e-12
float,103258,-4.78824e-06,4.89751e-06,3.97364e-08
double,113583,-4.40205e-06,4.40208e-06,-6.46272e-12
